,feature,reason
0,visibility,consider_drop_or_replace: raw visibility heavily capped (83.7%). Prefer threshold flags.
1,Is_Fog,logic_review_needed: fog all zero while low visibility exists
2,Is_Below_3SM_Visibility,review_near_zero_variance
3,Is_Extreme_Heat,review_near_zero_variance
4,Is_Heavy_Rain,review_near_zero_variance
5,Is_Low_Visibility,review_near_zero_variance
6,Visibility_Deficit_3SM_M,review_near_zero_variance
7,Visibility_Deficit_5KM_M,review_near_zero_variance
8,Visibility_Severity_Score,review_near_zero_variance
9,Is_Below_1SM_Visibility,zero_variance
10,Is_Crosswind_15kt,zero_variance
11,Is_Crosswind_20kt,zero_variance
12,Is_Fog,zero_variance
13,Is_Freezing,zero_variance
14,Is_Gale_Wind,zero_variance
15,Is_Strong_Wind,zero_variance
16,Runway_Ice_Risk,zero_variance
